pickuptime,temp,wind_speed,holiday,precip_in,Month,Hour,Day,green,yellow,total,clear,clouds,fog,rain,snow,thunderstorm
2014-01-01 01:00:00-05:00,268.9,2,1,0,1,1,2,2595,30887,33482,1,0,0,0,0,0
2014-01-01 02:00:00-05:00,268.48,3,1,0,1,2,2,2630,33650,36280,1,0,0,0,0,0
2014-01-01 03:00:00-05:00,268.33,3,1,0,1,3,2,2409,30745,33154,1,0,0,0,0,0
2014-01-01 04:00:00-05:00,268.1,3,1,0,1,4,2,2276,26244,28520,1,0,0,0,0,0
2014-01-01 05:00:00-05:00,268.02,1,1,0,1,5,2,1911,18792,20703,1,0,0,0,0,0
2014-01-01 06:00:00-05:00,267.9,1,1,0,1,6,2,1329,11009,12338,1,0,0,0,0,0
2014-01-01 07:00:00-05:00,267.59,1,1,0,1,7,2,836,7995,8831,1,0,0,0,0,0
2014-01-01 08:00:00-05:00,267.67,0,1,0,1,8,2,502,6927,7429,1,0,0,0,0,0
2014-01-01 09:00:00-05:00,269,1,1,0,1,9,2,323,6230,6553,1,0,0,0,0,0
2014-01-01 10:00:00-05:00,270.65,3,1,0,1,10,2,300,7961,8261,1,0,0,0,0,0
2014-01-01 11:00:00-05:00,271.41,1,1,0,1,11,2,337,11281,11618,1,0,0,0,0,0
2014-01-01 12:00:00-05:00,272.22,3,1,0,1,12,2,412,15397,15809,1,0,0,0,0,0
2014-01-01 13:00:00-05:00,272.52,3,1,0,1,13,2,533,18698,19231,1,0,0,0,0,0
2014-01-01 14:00:00-05:00,273.16,1,1,0,1,14,2,565,20220,20785,1,0,0,0,0,0
2014-01-01 15:00:00-05:00,273.32,1,1,0,1,15,2,697,21111,21808,1,0,0,0,0,0
2014-01-01 16:00:00-05:00,273.32,0,1,0,1,16,2,839,20550,21389,1,0,0,0,0,0
2014-01-01 17:00:00-05:00,272.83,3,1,0,1,17,2,978,18069,19047,1,0,0,0,0,0
2014-01-01 18:00:00-05:00,272.58,0,1,0,1,18,2,986,19612,20598,1,0,0,0,0,0
2014-01-01 19:00:00-05:00,272.11,0,1,0,1,19,2,1052,20185,21237,1,0,0,0,0,0
2014-01-01 20:00:00-05:00,271.92,1,1,0,1,20,2,988,19137,20125,1,0,0,0,0,0
2014-01-01 21:00:00-05:00,271.87,1,1,0,1,21,2,932,15964,16896,1,0,0,0,0,0
2014-01-01 22:00:00-05:00,271.87,1,1,0,1,22,2,806,15016,15822,1,0,0,0,0,0
2014-01-01 23:00:00-05:00,284.793,3,1,0,1,23,2,715,14316,15031,1,0,0,0,0,0
2014-01-02 00:00:00-05:00,272.1,2,1,0,1,0,3,657,10814,11471,1,0,0,0,0,0
2014-01-02 01:00:00-05:00,272.1,2,0,0,1,1,3,491,7863,8354,1,0,0,0,0,0
2014-01-02 02:00:00-05:00,272.17,3,0,0,1,2,3,307,4871,5178,1,0,0,0,0,0
2014-01-02 03:00:00-05:00,271.68,3,0,0,1,3,3,208,3210,3418,1,0,0,0,0,0
2014-01-02 04:00:00-05:00,271.63,3,0,0,1,4,3,156,2203,2359,1,0,0,0,0,0
2014-01-02 05:00:00-05:00,270.98,4,0,0,1,5,3,161,2372,2533,0,0,0,0,1,0
2014-01-02 06:00:00-05:00,270.32,3,0,0.01,1,6,3,130,3748,3878,0,0,0,0,1,0
2014-01-02 07:00:00-05:00,270.18,5,0,0,1,7,3,234,8962,9196,1,0,0,0,0,0
2014-01-02 08:00:00-05:00,269.79,4,0,0,1,8,3,627,15047,15674,1,0,0,0,0,0
2014-01-02 09:00:00-05:00,269.84,4,0,0,1,9,3,1031,19893,20924,1,0,0,0,0,0
2014-01-02 10:00:00-05:00,269.62,4,0,0,1,10,3,1012,20271,21283,1,0,0,0,0,0
2014-01-02 11:00:00-05:00,269.57,4,0,0,1,11,3,934,18601,19535,1,0,0,0,0,0
2014-01-02 12:00:00-05:00,269.54,4,0,0,1,12,3,942,19578,20520,1,0,0,0,0,0
2014-01-02 13:00:00-05:00,269.57,3,0,0,1,13,3,982,21101,22083,1,0,0,0,0,0
2014-01-02 14:00:00-05:00,269.03,4,0,0,1,14,3,1076,21638,22714,1,0,0,0,0,0
2014-01-02 15:00:00-05:00,268.9,3,0,0,1,15,3,1213,22154,23367,0,0,1,0,0,0
2014-01-02 16:00:00-05:00,268.58,4,0,0,1,16,3,1311,21220,22531,1,0,0,0,0,0
2014-01-02 17:00:00-05:00,268.47,5,0,0,1,17,3,1463,18545,20008,1,0,0,0,0,0
2014-01-02 18:00:00-05:00,267.68,7,0,0,1,18,3,1481,22310,23791,0,0,1,0,1,0
2014-01-02 19:00:00-05:00,267.68,7,0,0,1,19,3,1567,25957,27524,0,0,1,0,1,0
2014-01-02 20:00:00-05:00,267.35,4,0,0,1,20,3,1431,24907,26338,0,0,1,1,1,0
2014-01-02 21:00:00-05:00,266.59,3,0,0.03,1,21,3,906,18258,19164,0,0,1,1,1,0
2014-01-02 22:00:00-05:00,265.77,3,0,0.05,1,22,3,617,14882,15499,0,0,1,1,1,0
2014-01-02 23:00:00-05:00,264.64,4,0,0.04,1,23,3,426,12641,13067,0,0,0,1,1,0
2014-01-03 00:00:00-05:00,264.12,7,0,0.04,1,0,4,355,9726,10081,0,0,1,1,1,0
2014-01-03 01:00:00-05:00,263.39,3,0,0.04,1,1,4,240,7077,7317,0,0,0,1,1,0
