pickuptime,precip_in,Month,Hour,Day,holiday,green,yellow,total
2014-01-01 00:00:00-05:00,0,1,0,2,1,2595,30887,33482
2014-01-01 01:00:00-05:00,0,1,1,2,1,2630,33650,36280
2014-01-01 02:00:00-05:00,0,1,2,2,1,2409,30745,33154
2014-01-01 03:00:00-05:00,0,1,3,2,1,2276,26244,28520
2014-01-01 04:00:00-05:00,0,1,4,2,1,1911,18792,20703
2014-01-01 05:00:00-05:00,0,1,5,2,1,1329,11009,12338
2014-01-01 06:00:00-05:00,0,1,6,2,1,836,7995,8831
2014-01-01 07:00:00-05:00,0,1,7,2,1,502,6927,7429
2014-01-01 08:00:00-05:00,0,1,8,2,1,323,6230,6553
2014-01-01 09:00:00-05:00,0,1,9,2,1,300,7961,8261
2014-01-01 10:00:00-05:00,0,1,10,2,1,337,11281,11618
2014-01-01 11:00:00-05:00,0,1,11,2,1,412,15397,15809
2014-01-01 12:00:00-05:00,0,1,12,2,1,533,18698,19231
2014-01-01 13:00:00-05:00,0,1,13,2,1,565,20220,20785
2014-01-01 14:00:00-05:00,0,1,14,2,1,697,21111,21808
2014-01-01 15:00:00-05:00,0,1,15,2,1,839,20550,21389
2014-01-01 16:00:00-05:00,0,1,16,2,1,978,18069,19047
2014-01-01 17:00:00-05:00,0,1,17,2,1,986,19612,20598
2014-01-01 18:00:00-05:00,0,1,18,2,1,1052,20185,21237
2014-01-01 19:00:00-05:00,0,1,19,2,1,988,19137,20125
2014-01-01 20:00:00-05:00,0,1,20,2,1,932,15964,16896
2014-01-01 21:00:00-05:00,0,1,21,2,1,806,15016,15822
2014-01-01 22:00:00-05:00,0,1,22,2,1,715,14316,15031
2014-01-01 23:00:00-05:00,0,1,23,2,1,657,10814,11471
2014-01-02 00:00:00-05:00,0,1,0,3,0,491,7863,8354
2014-01-02 01:00:00-05:00,0,1,1,3,0,307,4871,5178
2014-01-02 02:00:00-05:00,0,1,2,3,0,208,3210,3418
2014-01-02 03:00:00-05:00,0,1,3,3,0,156,2203,2359
2014-01-02 04:00:00-05:00,0,1,4,3,0,161,2372,2533
2014-01-02 05:00:00-05:00,0.01,1,5,3,0,130,3748,3878
2014-01-02 06:00:00-05:00,0,1,6,3,0,234,8962,9196
2014-01-02 07:00:00-05:00,0,1,7,3,0,627,15047,15674
2014-01-02 08:00:00-05:00,0,1,8,3,0,1031,19893,20924
2014-01-02 09:00:00-05:00,0,1,9,3,0,1012,20271,21283
2014-01-02 10:00:00-05:00,0,1,10,3,0,934,18601,19535
2014-01-02 11:00:00-05:00,0,1,11,3,0,942,19578,20520
2014-01-02 12:00:00-05:00,0,1,12,3,0,982,21101,22083
2014-01-02 13:00:00-05:00,0,1,13,3,0,1076,21638,22714
2014-01-02 14:00:00-05:00,0,1,14,3,0,1213,22154,23367
2014-01-02 15:00:00-05:00,0,1,15,3,0,1311,21220,22531
2014-01-02 16:00:00-05:00,0,1,16,3,0,1463,18545,20008
2014-01-02 17:00:00-05:00,0,1,17,3,0,1481,22310,23791
2014-01-02 18:00:00-05:00,0,1,18,3,0,1567,25957,27524
2014-01-02 19:00:00-05:00,0,1,19,3,0,1431,24907,26338
2014-01-02 20:00:00-05:00,0.03,1,20,3,0,906,18258,19164
2014-01-02 21:00:00-05:00,0.05,1,21,3,0,617,14882,15499
2014-01-02 22:00:00-05:00,0.04,1,22,3,0,426,12641,13067
2014-01-02 23:00:00-05:00,0.04,1,23,3,0,355,9726,10081
2014-01-03 00:00:00-05:00,0.04,1,0,4,0,240,7077,7317
2014-01-03 01:00:00-05:00,0.03,1,1,4,0,151,4553,4704
2014-01-03 02:00:00-05:00,0.03,1,2,4,0,96,3037,3133
2014-01-03 03:00:00-05:00,0.01,1,3,4,0,54,1912,1966
2014-01-03 04:00:00-05:00,0.02,1,4,4,0,41,1288,1329
2014-01-03 05:00:00-05:00,0.01,1,5,4,0,22,1183,1205
2014-01-03 06:00:00-05:00,0,1,6,4,0,38,2009,2047
2014-01-03 07:00:00-05:00,0,1,7,4,0,100,3714,3814
2014-01-03 08:00:00-05:00,0,1,8,4,0,174,5845,6019
2014-01-03 09:00:00-05:00,0,1,9,4,0,278,7953,8231
2014-01-03 10:00:00-05:00,0,1,10,4,0,333,9631,9964
2014-01-03 11:00:00-05:00,0,1,11,4,0,419,10681,11100
2014-01-03 12:00:00-05:00,0,1,12,4,0,491,11541,12032
2014-01-03 13:00:00-05:00,0,1,13,4,0,583,11454,12037
2014-01-03 14:00:00-05:00,0,1,14,4,0,673,14586,15259
2014-01-03 15:00:00-05:00,0,1,15,4,0,901,15879,16780
2014-01-03 16:00:00-05:00,0,1,16,4,0,1035,15174,16209
2014-01-03 17:00:00-05:00,0,1,17,4,0,1071,18541,19612
2014-01-03 18:00:00-05:00,0,1,18,4,0,1197,23243,24440
2014-01-03 19:00:00-05:00,0,1,19,4,0,1225,24333,25558
2014-01-03 20:00:00-05:00,0,1,20,4,0,1164,20784,21948
2014-01-03 21:00:00-05:00,0,1,21,4,0,1115,19660,20775
2014-01-03 22:00:00-05:00,0,1,22,4,0,1052,21470,22522
2014-01-03 23:00:00-05:00,0,1,23,4,0,983,19922,20905
2014-01-04 00:00:00-05:00,0,1,0,5,0,872,18324,19196
2014-01-04 01:00:00-05:00,0,1,1,5,0,706,14908,15614
2014-01-04 02:00:00-05:00,0,1,2,5,0,513,11234,11747
2014-01-04 03:00:00-05:00,0,1,3,5,0,430,8036,8466
2014-01-04 04:00:00-05:00,0,1,4,5,0,335,5710,6045
2014-01-04 05:00:00-05:00,0,1,5,5,0,219,3104,3323
2014-01-04 06:00:00-05:00,0,1,6,5,0,190,3874,4064
2014-01-04 07:00:00-05:00,0,1,7,5,0,325,5425,5750
2014-01-04 08:00:00-05:00,0,1,8,5,0,463,8464,8927
2014-01-04 09:00:00-05:00,0,1,9,5,0,599,13160,13759
2014-01-04 10:00:00-05:00,0,1,10,5,0,746,16774,17520
2014-01-04 11:00:00-05:00,0,1,11,5,0,865,19804,20669
2014-01-04 12:00:00-05:00,0,1,12,5,0,977,22029,23006
2014-01-04 13:00:00-05:00,0,1,13,5,0,1024,22516,23540
2014-01-04 14:00:00-05:00,0,1,14,5,0,1107,21555,22662
2014-01-04 15:00:00-05:00,0,1,15,5,0,1308,22902,24210
2014-01-04 16:00:00-05:00,0,1,16,5,0,1480,20261,21741
2014-01-04 17:00:00-05:00,0,1,17,5,0,1502,22273,23775
2014-01-04 18:00:00-05:00,0,1,18,5,0,1719,26890,28609
2014-01-04 19:00:00-05:00,0,1,19,5,0,1764,28526,30290
2014-01-04 20:00:00-05:00,0,1,20,5,0,1726,24763,26489
2014-01-04 21:00:00-05:00,0,1,21,5,0,1657,23293,24950
2014-01-04 22:00:00-05:00,0,1,22,5,0,1586,25827,27413
2014-01-04 23:00:00-05:00,0,1,23,5,0,1584,27847,29431
2014-01-05 00:00:00-05:00,0,1,0,6,0,1432,26052,27484
2014-01-05 01:00:00-05:00,0,1,1,6,0,1250,22375,23625
2014-01-05 02:00:00-05:00,0,1,2,6,0,1055,18742,19797
2014-01-05 03:00:00-05:00,0,1,3,6,0,918,14041,14959
2014-01-05 04:00:00-05:00,0,1,4,6,0,698,9023,9721
2014-01-05 05:00:00-05:00,0,1,5,6,0,361,4231,4592
2014-01-05 06:00:00-05:00,0,1,6,6,0,227,4025,4252
